Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Reason for cancelling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-02-12,07:32:00,BK474067,Success,C8170,Bike,Bangalore East,Kudlu,3.0,12.0,0,,0,,0,,426.0,49.0,4.0,4.1
2025-02-08,20:39:00,BK766123,Success,C3897,Bike,Rajajinagar,Frazer Town,5.0,5.0,0,,0,,0,,273.0,38.0,4.6,4.4
2025-02-25,09:39:00,BK286204,Success,C8316,Prime Plus,Kundalahalli,Sree Chowdeshwari Nagar,5.0,5.0,0,,0,,0,,227.0,25.0,3.6,4.3
2025-02-26,14:43:00,BK618823,Cancelled,C1496,eBike,Vasanth Nagar,Bellandur,,,1,Change of plans,1,Customer related issue,1,Other Issue,,,,
2025-02-21,15:08:00,BK720082,Cancelled,C9704,Prime Plus,Sarakki,Kormangala 1st Block,,,1,AC is not working (Only for 4-wheelers),1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-03-02,13:01:00,BK415565,Cancelled,C8000,Auto,Marathahalli,Chikkajala,,,1,Driver asked to cancel,1,Customer related issue,1,Customer Demand,,,,
2025-02-25,04:13:00,BK234610,Success,C8195,Prime SUV,Kudlu,Yelahanka,8.0,6.0,0,,0,,0,,451.0,30.0,3.5,3.6
2025-02-23,10:51:00,BK799417,Success,C6296,Auto,Peenya,Ulsoor,3.0,6.0,0,,0,,0,,80.0,6.0,4.1,4.3
2025-02-11,21:01:00,BK822337,Success,C3546,Prime SUV,Kudlu,Peenya,7.0,12.0,0,,0,,0,,333.0,11.0,4.8,3.6
2025-02-17,15:19:00,BK513640,Success,C5169,Mini,Hebbal,Yelahanka New Town,11.0,11.0,0,,0,,0,,308.0,30.0,4.0,4.8
2025-02-01,14:03:00,BK712875,Cancelled,C5710,Prime SUV,Bellandur,Yeshwanthpur,,,1,Wrong Address,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-05,00:51:00,BK209173,Success,C3717,Prime Sedan,Kundalahalli,CV Raman Nagar,4.0,5.0,0,,0,,0,,268.0,6.0,4.3,4.9
2025-02-27,11:54:00,BK190105,Success,C5295,Mini,Bangalore University,Bommanahalli,3.0,3.0,0,,0,,0,,68.0,13.0,4.7,3.6
2025-02-14,13:23:00,BK178956,Cancelled,C2106,Bike,Bangalore University,Kormangala 1st Block,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Other Issue,,,,
2025-02-23,00:37:00,BK893109,Success,C4549,eBike,Kudlu,Chikkajala,5.0,8.0,0,,0,,0,,247.0,38.0,4.7,4.6
2025-02-01,01:00:00,BK860198,Success,C6902,Prime SUV,Sanjay Nagar,Sarakki,5.0,3.0,0,,0,,0,,387.0,27.0,4.7,4.3
2025-02-27,11:50:00,BK832855,Success,C6107,Auto,Chikkajala,Shivajinagar,8.0,7.0,0,,0,,0,,340.0,39.0,3.7,4.2
2025-02-15,18:46:00,BK589247,Cancelled,C7124,Prime Sedan,Sahakaranagar,Banaswadi,,,1,Change of plans,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-17,10:40:00,BK719773,Cancelled,C9468,Mini,Kasavanahalli,Vasanth Nagar,,,1,Wrong Address,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-15,06:22:00,BK153824,Cancelled,C8089,Bike,Bommanahalli,Basavanagudi,,,1,Wrong Address,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-23,12:00:00,BK119008,Success,C6725,Prime SUV,Rajajinagar,CV Raman Nagar,6.0,9.0,0,,0,,0,,428.0,16.0,4.8,4.7
2025-02-24,16:11:00,BK539368,Cancelled,C9287,Mini,Peenya,RT Nagar,,,1,AC is not working (Only for 4-wheelers),1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-23,18:31:00,BK657966,Cancelled,C7685,Bike,Doddaballapur,Bommanahalli,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-10,16:56:00,BK318524,Success,C7670,Auto,Rajajinagar,Frazer Town,10.0,5.0,0,,0,,0,,373.0,31.0,4.9,3.7
2025-02-06,01:42:00,BK448420,Cancelled,C9455,Prime SUV,Bannergatta,Basavanagudi,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-28,05:40:00,BK645292,Success,C2202,Prime SUV,Bangalore Palace,Singasandra,11.0,8.0,0,,0,,0,,356.0,10.0,4.8,4.7
2025-02-13,22:25:00,BK227008,Cancelled,C9137,Bike,MG Road,Singasandra,,,1,Driver is not moving towards pickup location,1,More than permitted people in there,1,Other Issue,,,,
2025-02-15,14:53:00,BK152014,Cancelled,C2789,Prime Plus,Jalahalli,Kudlu,,,1,Change of plans,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-19,21:30:00,BK175896,Cancelled,C4130,Mini,Marathahalli,Bellandur,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Customer Demand,,,,
2025-02-24,06:54:00,BK391989,Cancelled,C4805,Mini,Bangalore Palace,Chandapura,,,1,Wrong Address,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-08,20:25:00,BK492382,Success,C6350,eBike,Kundalahalli,Kormangala 1st Block,9.0,5.0,0,,0,,0,,138.0,42.0,4.7,4.6
2025-02-06,15:28:00,BK655078,Success,C2043,Auto,Sree Chowdeshwari Nagar,Rajajinagar,4.0,10.0,0,,0,,0,,147.0,11.0,4.2,4.6
2025-02-21,08:43:00,BK160190,Cancelled,C4955,eBike,Bengaluru East,Ulsoor,,,1,Change of plans,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-01,06:42:00,BK991788,Success,C9276,Auto,Sarakki,MG Road,9.0,9.0,0,,0,,0,,312.0,19.0,4.5,3.5
2025-02-24,10:38:00,BK294438,Success,C9458,Prime Sedan,Sarakki,Yelahanka,10.0,11.0,0,,0,,0,,407.0,37.0,4.5,3.8
2025-02-21,10:46:00,BK120088,Success,C4332,Bike,Banaswadi,Bellandur,6.0,6.0,0,,0,,0,,293.0,22.0,4.2,4.8
2025-02-20,03:25:00,BK755824,Success,C6691,Bike,Kormangala 1st Block,Chikkajala,12.0,11.0,0,,0,,0,,380.0,30.0,3.7,3.6
2025-02-16,18:16:00,BK489510,Success,C4415,Bike,Sanjay Nagar,KR Puram,6.0,4.0,0,,0,,0,,217.0,35.0,3.6,4.0
2025-02-03,19:59:00,BK688201,Success,C8856,Auto,Bellandur,Rajajinagar,3.0,8.0,0,,0,,0,,195.0,14.0,3.7,4.4
2025-02-01,00:58:00,BK537492,Success,C8747,Bike,Peenya,Bengaluru East,8.0,3.0,0,,0,,0,,361.0,5.0,3.7,4.3
2025-02-23,18:46:00,BK868588,Cancelled,C1656,Mini,Singasandra,Ulsoor,,,1,Driver is not moving towards pickup location,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-13,11:48:00,BK908826,Cancelled,C5240,Prime Plus,Jayanagar,Kammanahalli,,,1,AC is not working (Only for 4-wheelers),1,Personal & Car related issues,1,Customer Demand,,,,
2025-03-01,12:20:00,BK525784,Success,C1207,Prime Sedan,MG Road,Kundalahalli,6.0,6.0,0,,0,,0,,101.0,12.0,3.7,4.0
2025-03-01,09:57:00,BK658769,Cancelled,C2107,eBike,Sanjay Nagar,Bangalore University,,,1,Driver is not moving towards pickup location,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-06,21:29:00,BK286733,Success,C6459,Prime Sedan,Indiranagar,Jakkur,3.0,6.0,0,,0,,0,,340.0,14.0,4.2,4.1
2025-02-07,18:56:00,BK474718,Success,C1452,Prime Sedan,Frazer Town,Bengaluru East,5.0,4.0,0,,0,,0,,102.0,38.0,5.0,4.5
2025-02-28,19:48:00,BK170862,Success,C9609,Prime Sedan,Rajajinagar,Vasanth Nagar,8.0,4.0,0,,0,,0,,245.0,47.0,3.9,4.6
2025-02-10,21:45:00,BK381567,Success,C4610,Prime SUV,Vijayanagar,Rajagopal Nagar,4.0,3.0,0,,0,,0,,246.0,10.0,4.3,4.9
2025-02-26,15:01:00,BK609037,Success,C8595,Prime SUV,Hebbal,Kasavanahalli,12.0,7.0,0,,0,,0,,380.0,25.0,4.8,4.8
2025-02-18,07:22:00,BK721069,Success,C1174,Mini,Vasanth Nagar,Bengaluru East,5.0,7.0,0,,0,,0,,58.0,29.0,4.8,4.6
2025-02-23,11:28:00,BK795062,Success,C4026,Bike,Koramangala,Sarakki,7.0,7.0,0,,0,,0,,312.0,33.0,4.1,3.9
2025-02-13,16:40:00,BK636930,Cancelled,C1514,Auto,Peenya,MG Road,,,1,Wrong Address,1,Customer related issue,1,Customer Demand,,,,
2025-02-27,18:10:00,BK429021,Cancelled,C7765,Prime Sedan,Sree Chowdeshwari Nagar,Frazer Town,,,1,AC is not working (Only for 4-wheelers),1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-01,14:18:00,BK549767,Success,C7194,Prime SUV,Bannergatta,Kengeri,3.0,3.0,0,,0,,0,,468.0,15.0,4.8,4.2
2025-02-01,07:03:00,BK479231,Cancelled,C2715,Auto,Whitefield,Vasanth Nagar,,,1,Wrong Address,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-01,03:06:00,BK746835,Cancelled,C6579,Mini,Kormangala 1st Block,MG Road,,,1,Wrong Address,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-25,06:02:00,BK616213,Cancelled,C3732,Prime Sedan,Bangalore East,HSR Layout,,,1,Driver asked to cancel,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-03,18:09:00,BK107539,Cancelled,C3421,Prime Plus,Peenya,Ramanagara,,,1,AC is not working (Only for 4-wheelers),1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-07,02:11:00,BK560954,Success,C4541,Auto,Bangalore East,Peenya,4.0,8.0,0,,0,,0,,205.0,28.0,4.8,4.6
2025-02-12,10:17:00,BK207400,Success,C6732,Bike,RT Nagar,Bengaluru East,10.0,11.0,0,,0,,0,,147.0,24.0,3.9,4.7
2025-02-16,00:31:00,BK433595,Cancelled,C2116,eBike,Bangalore East,Chandapura,,,1,Wrong Address,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-05,22:37:00,BK399160,Success,C7069,Bike,Okalipuram,Jakkur,11.0,4.0,0,,0,,0,,192.0,5.0,4.0,4.9
2025-02-27,23:09:00,BK337574,Success,C8739,Bike,Bangalore Palace,Bengaluru East,6.0,8.0,0,,0,,0,,390.0,36.0,4.3,4.4
2025-02-16,20:01:00,BK978757,Cancelled,C9095,Prime Sedan,Kundalahalli,Basavanagudi,,,1,Driver is not moving towards pickup location,1,Customer related issue,1,Other Issue,,,,
2025-02-25,12:39:00,BK325482,Success,C3522,Prime Sedan,Malleshwaram,Chikkajala,6.0,9.0,0,,0,,0,,148.0,35.0,4.7,4.8
2025-02-01,09:20:00,BK549651,Success,C2373,Prime Sedan,Hebbal,Basavanagudi,5.0,10.0,0,,0,,0,,298.0,48.0,4.5,4.9
2025-02-07,02:02:00,BK325514,Cancelled,C6481,eBike,Vasanth Nagar,Koramangala,,,1,Wrong Address,1,Customer related issue,1,Customer Demand,,,,
2025-02-12,04:31:00,BK389195,Cancelled,C8640,eBike,Banaswadi,Kasavanahalli,,,1,Wrong Address,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-21,16:45:00,BK909302,Success,C2330,Prime Sedan,Jayanagar,Bangalore University,7.0,11.0,0,,0,,0,,295.0,25.0,3.8,4.7
2025-02-22,22:03:00,BK453684,Cancelled,C3801,Bike,Singasandra,Basavanagudi,,,1,AC is not working (Only for 4-wheelers),1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-25,21:13:00,BK274787,Success,C4337,Bike,Vijayanagar,Okalipuram,3.0,8.0,0,,0,,0,,295.0,23.0,4.6,4.0
2025-02-02,00:32:00,BK131622,Success,C2855,Bike,Malleshwaram,Frazer Town,11.0,8.0,0,,0,,0,,97.0,36.0,3.5,3.6
2025-02-25,22:17:00,BK352056,Cancelled,C5093,Prime Plus,Ulsoor,Sanjay Nagar,,,1,AC is not working (Only for 4-wheelers),1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-09,19:16:00,BK187476,Success,C5657,Prime Plus,Sahakaranagar,Chandapura,8.0,10.0,0,,0,,0,,461.0,22.0,4.6,5.0
2025-02-06,10:46:00,BK893169,Cancelled,C2397,Prime Plus,HSR Layout,Raghavendra Colony,,,1,AC is not working (Only for 4-wheelers),1,Customer related issue,1,Other Issue,,,,
2025-02-10,07:20:00,BK405158,Success,C7578,Auto,Sarakki,Kammanahalli,11.0,11.0,0,,0,,0,,448.0,46.0,3.6,4.7
2025-02-19,17:30:00,BK496034,Cancelled,C7232,eBike,Bengaluru East,Bangalore Palace,,,1,Driver asked to cancel,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-14,05:10:00,BK264692,Success,C8021,Prime SUV,Sahakaranagar,Kundalahalli,11.0,5.0,0,,0,,0,,203.0,20.0,4.9,4.6
2025-02-20,14:53:00,BK777415,Success,C9299,Mini,Kormangala 1st Block,Ramanagara,10.0,9.0,0,,0,,0,,442.0,16.0,3.6,4.3
2025-02-12,03:45:00,BK296548,Success,C8818,Prime Sedan,Sanjay Nagar,CV Raman Nagar,4.0,5.0,0,,0,,0,,178.0,38.0,4.4,3.7
2025-02-15,04:18:00,BK171247,Success,C8658,Mini,Whitefield,Chikkajala,10.0,9.0,0,,0,,0,,460.0,44.0,3.8,4.3
2025-02-28,07:57:00,BK849447,Success,C6050,Mini,Yeshwanthpur,Chikkajala,4.0,4.0,0,,0,,0,,95.0,29.0,4.9,3.6
2025-02-01,12:16:00,BK785818,Success,C2490,Bike,Indiranagar,Okalipuram,12.0,7.0,0,,0,,0,,130.0,23.0,4.7,3.8
2025-02-22,17:45:00,BK434614,Success,C5417,Prime SUV,CV Raman Nagar,Marathahalli,3.0,8.0,0,,0,,0,,451.0,41.0,4.9,4.4
2025-02-05,00:53:00,BK498347,Success,C1007,Prime SUV,Bangalore University,MG Road,12.0,6.0,0,,0,,0,,152.0,22.0,3.6,3.9
2025-02-13,05:52:00,BK807286,Cancelled,C8407,Prime Plus,Yelahanka,Sahakaranagar,,,1,Change of plans,1,Customer related issue,1,Other Issue,,,,
2025-02-10,08:24:00,BK837924,Cancelled,C1387,Prime SUV,Kasavanahalli,Peenya,,,1,AC is not working (Only for 4-wheelers),1,More than permitted people in there,1,Customer Demand,,,,
2025-02-27,13:56:00,BK175879,Success,C7049,Auto,Yelahanka New Town,Jayanagar,9.0,10.0,0,,0,,0,,79.0,13.0,3.9,4.5
2025-02-05,23:33:00,BK373103,Success,C3877,Mini,Peenya,Rajagopal Nagar,7.0,10.0,0,,0,,0,,213.0,34.0,3.6,4.0
2025-02-19,05:48:00,BK582360,Success,C3428,Bike,KR Puram,Singasandra,11.0,8.0,0,,0,,0,,58.0,29.0,4.0,4.8
2025-02-16,11:04:00,BK861126,Success,C5946,Prime Sedan,Yelahanka New Town,Vasanth Nagar,4.0,5.0,0,,0,,0,,60.0,38.0,4.2,4.8
2025-02-12,17:28:00,BK323034,Success,C3613,Prime Plus,Ramanagara,MG Road,3.0,5.0,0,,0,,0,,153.0,33.0,4.9,4.1
2025-02-19,00:38:00,BK737910,Cancelled,C5230,Mini,Marathahalli,Rajagopal Nagar,,,1,Change of plans,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-03,17:38:00,BK151938,Cancelled,C8884,Prime Plus,Jakkur,Chikkajala,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-28,22:51:00,BK549547,Success,C8300,Prime Plus,Kengeri,Basavanagudi,6.0,12.0,0,,0,,0,,113.0,29.0,4.9,4.6
2025-02-20,03:53:00,BK945335,Success,C7312,Prime Plus,Jayanagar,Indiranagar,6.0,4.0,0,,0,,0,,384.0,39.0,4.1,3.6
2025-02-02,03:13:00,BK180815,Success,C8823,Prime Plus,Yeshwanthpur,HSR Layout,9.0,12.0,0,,0,,0,,491.0,43.0,4.1,4.7
2025-02-25,15:31:00,BK520768,Success,C6697,Prime SUV,Kudlu,Sahakaranagar,6.0,11.0,0,,0,,0,,118.0,40.0,4.8,3.9
2025-02-11,03:50:00,BK158802,Success,C1017,Auto,Koramangala,Sanjay Nagar,5.0,11.0,0,,0,,0,,200.0,5.0,3.9,3.7
2025-02-19,00:59:00,BK114968,Success,C5060,Mini,Bengaluru East,Bangalore East,8.0,9.0,0,,0,,0,,300.0,15.0,4.2,4.0
2025-02-21,14:20:00,BK429851,Success,C2964,Bike,CV Raman Nagar,Bangalore East,5.0,10.0,0,,0,,0,,372.0,7.0,4.3,4.2
2025-02-24,22:33:00,BK320305,Cancelled,C5486,Auto,Peenya,Jayanagar,,,1,Wrong Address,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-24,11:47:00,BK819031,Success,C5561,eBike,MG Road,Ulsoor,4.0,11.0,0,,0,,0,,170.0,33.0,4.1,4.0
2025-02-23,03:45:00,BK432642,Success,C8593,Mini,Banaswadi,Shivajinagar,10.0,9.0,0,,0,,0,,474.0,48.0,4.1,3.7
2025-02-09,18:21:00,BK232700,Success,C6387,Prime SUV,HSR Layout,Bengaluru East,10.0,8.0,0,,0,,0,,327.0,48.0,4.6,4.2
2025-02-16,07:14:00,BK861989,Cancelled,C9569,Prime SUV,Peenya,RT Nagar,,,1,Wrong Address,1,Personal & Car related issues,1,Other Issue,,,,
2025-02-05,01:01:00,BK959349,Success,C9572,Prime SUV,Shivajinagar,CV Raman Nagar,3.0,5.0,0,,0,,0,,452.0,8.0,4.6,4.0
2025-02-07,16:26:00,BK418136,Success,C2402,eBike,Whitefield,Chikkajala,3.0,10.0,0,,0,,0,,182.0,49.0,4.2,4.2
2025-02-11,13:40:00,BK728199,Cancelled,C5063,eBike,Singasandra,Banaswadi,,,1,Wrong Address,1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-25,16:56:00,BK696412,Cancelled,C2304,Auto,Malleshwaram,Ulsoor,,,1,Change of plans,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-24,23:16:00,BK519154,Success,C8871,Prime Plus,Sanjay Nagar,Rajagopal Nagar,7.0,6.0,0,,0,,0,,204.0,8.0,4.5,4.6
2025-02-07,22:06:00,BK778239,Cancelled,C6700,Bike,Jayanagar,CV Raman Nagar,,,1,Driver asked to cancel,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-09,15:25:00,BK620327,Success,C3769,Mini,Doddaballapur,Indiranagar,7.0,10.0,0,,0,,0,,386.0,43.0,4.3,3.9
2025-02-02,05:58:00,BK264704,Cancelled,C4178,eBike,Jakkur,Kasavanahalli,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-07,12:24:00,BK928750,Cancelled,C1715,Prime SUV,Yelahanka,Kasavanahalli,,,1,Driver asked to cancel,1,More than permitted people in there,1,Customer Demand,,,,
2025-02-05,02:37:00,BK877127,Cancelled,C1514,Prime Sedan,Sree Chowdeshwari Nagar,Bellandur,,,1,Driver asked to cancel,1,More than permitted people in there,1,Other Issue,,,,
2025-02-25,09:33:00,BK866220,Cancelled,C2340,Auto,Bengaluru East,HSR Layout,,,1,Driver asked to cancel,1,Customer related issue,1,Other Issue,,,,
2025-02-28,09:00:00,BK320916,Cancelled,C6527,Bike,Koramangala,Vasanth Nagar,,,1,Driver asked to cancel,1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-13,22:06:00,BK486158,Success,C5805,Auto,Sanjay Nagar,Hebbal,7.0,3.0,0,,0,,0,,257.0,25.0,3.6,4.6
2025-02-13,04:28:00,BK652373,Success,C4031,Prime Plus,Bangalore University,Kudlu,7.0,3.0,0,,0,,0,,139.0,44.0,3.9,3.9
2025-02-27,05:08:00,BK189948,Success,C4231,Prime Sedan,Singasandra,Whitefield,8.0,8.0,0,,0,,0,,190.0,38.0,3.6,3.6
2025-02-12,09:26:00,BK729861,Success,C9286,Auto,Rajajinagar,MG Road,3.0,3.0,0,,0,,0,,456.0,22.0,3.9,4.1
2025-02-15,08:11:00,BK678956,Cancelled,C9388,Prime SUV,Kammanahalli,Kudlu,,,1,Driver asked to cancel,1,More than permitted people in there,1,Vehicle Breakdown,,,,
2025-02-23,18:22:00,BK542993,Success,C1547,Prime Plus,Indiranagar,Sanjay Nagar,4.0,7.0,0,,0,,0,,161.0,35.0,4.1,4.1
2025-02-08,00:13:00,BK357353,Cancelled,C9584,Auto,MG Road,Sahakaranagar,,,1,Driver asked to cancel,1,More than permitted people in there,1,Other Issue,,,,
2025-03-02,05:40:00,BK100782,Success,C4937,Prime SUV,Vasanth Nagar,Jakkur,4.0,11.0,0,,0,,0,,241.0,50.0,4.5,4.8
2025-02-09,12:23:00,BK294495,Success,C1191,Bike,Bommanahalli,Sarakki,12.0,8.0,0,,0,,0,,310.0,43.0,4.4,4.3
2025-02-09,12:44:00,BK355175,Success,C2494,Mini,Banaswadi,Sarakki,4.0,9.0,0,,0,,0,,124.0,39.0,4.7,3.9
2025-02-07,03:07:00,BK884469,Cancelled,C9001,Prime Sedan,Frazer Town,Bangalore East,,,1,Wrong Address,1,More than permitted people in there,1,Other Issue,,,,
2025-02-26,19:44:00,BK375281,Success,C5022,eBike,Jayanagar,Yeshwanthpur,12.0,6.0,0,,0,,0,,219.0,33.0,4.8,4.8
2025-02-19,10:33:00,BK250752,Cancelled,C3807,eBike,Sree Chowdeshwari Nagar,Jayanagar,,,1,Wrong Address,1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-15,09:32:00,BK669580,Success,C9278,eBike,Basavanagudi,Chandapura,5.0,8.0,0,,0,,0,,500.0,22.0,4.1,4.3
2025-02-04,12:53:00,BK221004,Success,C9579,Auto,Yelahanka New Town,Chandapura,10.0,4.0,0,,0,,0,,160.0,27.0,4.3,4.2
2025-02-05,09:22:00,BK450543,Success,C6895,Bike,Kudlu,Kasavanahalli,3.0,8.0,0,,0,,0,,291.0,25.0,3.7,4.2
2025-02-24,22:25:00,BK289686,Cancelled,C6767,Prime Plus,Malleshwaram,Rajajinagar,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-17,02:01:00,BK976621,Cancelled,C1522,Prime Sedan,Basavanagudi,Bengaluru East,,,1,Wrong Address,1,More than permitted people in there,1,Other Issue,,,,
2025-02-21,11:41:00,BK925609,Success,C4016,Prime SUV,Vasanth Nagar,Basavanagudi,7.0,5.0,0,,0,,0,,455.0,21.0,3.8,3.6
2025-02-25,22:04:00,BK667205,Cancelled,C3144,Prime SUV,Rajajinagar,Jayanagar,,,1,AC is not working (Only for 4-wheelers),1,The customer was coughing/sick,1,Customer Demand,,,,
2025-02-24,23:52:00,BK939745,Success,C5930,Bike,Bangalore East,Hebbal,9.0,8.0,0,,0,,0,,460.0,44.0,3.8,4.5
2025-02-17,07:56:00,BK251733,Cancelled,C8639,eBike,Chandapura,RT Nagar,,,1,Driver asked to cancel,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-27,10:39:00,BK884546,Cancelled,C2657,eBike,HSR Layout,Banaswadi,,,1,Driver asked to cancel,1,Customer related issue,1,Other Issue,,,,
2025-02-23,20:13:00,BK144953,Success,C3264,Auto,Rajagopal Nagar,Sanjay Nagar,4.0,8.0,0,,0,,0,,78.0,34.0,4.0,3.7
2025-02-04,03:02:00,BK726679,Success,C3763,Prime Sedan,Chandapura,Raghavendra Colony,6.0,8.0,0,,0,,0,,307.0,8.0,3.9,4.1
2025-02-15,00:11:00,BK268670,Success,C5542,Prime SUV,Yeshwanthpur,Banashankari,3.0,4.0,0,,0,,0,,105.0,6.0,4.2,4.1
2025-02-14,08:16:00,BK488471,Cancelled,C6694,Prime Plus,Bangalore University,Jalahalli,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-20,13:27:00,BK917606,Success,C9653,Mini,Bangalore University,Kasavanahalli,10.0,4.0,0,,0,,0,,150.0,20.0,4.1,4.9
2025-02-11,20:14:00,BK860523,Success,C1705,Prime Sedan,Okalipuram,Bellandur,5.0,6.0,0,,0,,0,,237.0,46.0,4.0,4.3
2025-02-13,15:07:00,BK964531,Cancelled,C7993,Prime Sedan,Banashankari,Ulsoor,,,1,Wrong Address,1,Customer related issue,1,Other Issue,,,,
2025-02-18,01:34:00,BK228534,Success,C6425,Prime Sedan,Bangalore East,Kundalahalli,5.0,8.0,0,,0,,0,,388.0,17.0,4.3,5.0
2025-02-02,12:47:00,BK761606,Success,C6501,Auto,Doddaballapur,Peenya,8.0,12.0,0,,0,,0,,200.0,30.0,3.6,3.9
2025-02-14,18:00:00,BK738791,Success,C4891,Prime Sedan,Vijayanagar,Ramanagara,3.0,8.0,0,,0,,0,,412.0,12.0,4.5,4.3
2025-02-13,15:42:00,BK829940,Cancelled,C2246,Bike,Rajajinagar,Bommanahalli,,,1,Wrong Address,1,More than permitted people in there,1,Other Issue,,,,
2025-02-06,04:44:00,BK459363,Cancelled,C3962,Bike,Bengaluru East,Kundalahalli,,,1,Driver asked to cancel,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-26,19:24:00,BK865565,Cancelled,C3876,Prime Plus,Vijayanagar,Yelahanka,,,1,Driver asked to cancel,1,The customer was coughing/sick,1,Vehicle Breakdown,,,,
2025-02-06,00:37:00,BK746268,Success,C8442,Mini,Bengaluru East,Bangalore University,8.0,11.0,0,,0,,0,,123.0,37.0,4.3,3.8
2025-02-17,10:56:00,BK285275,Cancelled,C8139,eBike,RT Nagar,Kengeri,,,1,Change of plans,1,Customer related issue,1,Other Issue,,,,
2025-02-12,20:02:00,BK811266,Cancelled,C7718,Auto,Kormangala 1st Block,RT Nagar,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Vehicle Breakdown,,,,
2025-02-03,01:54:00,BK137565,Cancelled,C4453,Prime SUV,Hebbal,Basavanagudi,,,1,Driver is not moving towards pickup location,1,Personal & Car related issues,1,Customer Demand,,,,
2025-02-21,23:31:00,BK255138,Success,C5377,eBike,Jalahalli,Frazer Town,10.0,12.0,0,,0,,0,,414.0,45.0,4.6,3.6
2025-02-20,15:17:00,BK983381,Success,C9339,Prime Plus,Kormangala 1st Block,Chikkajala,4.0,11.0,0,,0,,0,,428.0,38.0,4.3,4.3
2025-02-01,19:23:00,BK395534,Success,C1476,eBike,Basavanagudi,Kengeri,8.0,4.0,0,,0,,0,,63.0,12.0,4.6,3.7
2025-02-01,18:09:00,BK236477,Success,C9872,Mini,Sanjay Nagar,Chandapura,4.0,11.0,0,,0,,0,,452.0,24.0,3.8,4.2
2025-02-17,20:52:00,BK425498,Success,C3458,Prime Sedan,Peenya,Indiranagar,9.0,5.0,0,,0,,0,,359.0,37.0,4.7,4.0
2025-02-27,15:03:00,BK461115,Success,C8524,Mini,Bangalore University,Bellandur,12.0,6.0,0,,0,,0,,480.0,39.0,4.6,4.2
2025-02-14,12:12:00,BK411753,Success,C2083,Prime Sedan,Bannergatta,Jakkur,7.0,9.0,0,,0,,0,,469.0,38.0,4.7,3.5
2025-02-15,20:55:00,BK739690,Cancelled,C9878,eBike,Jakkur,Kudlu,,,1,AC is not working (Only for 4-wheelers),1,Customer related issue,1,Vehicle Breakdown,,,,
2025-02-20,00:35:00,BK346518,Success,C7662,eBike,Kasavanahalli,Yeshwanthpur,9.0,4.0,0,,0,,0,,300.0,22.0,3.6,3.7
